station_id,name,lat,lon,capacity,num_bikes_available,num_docks_available
7292,Granby St / Church St - SMART,43.6605302,-79.3787235,12,3,9
7293,College St / McCaul St,43.65906,-79.393771,17,10,7
7296,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,19,17,2
7297,Havelock St / Dufferin Park,43.657343,-79.43112,19,13,6
7298,Bathurst St / Adelaide St W,43.645324,-79.40345,25,8,16
7299,Mill St / Parliament St,43.650256,-79.36163,15,9,6
7301,Primrose Ave / Davenport Rd - SMART,43.67142,-79.445947,15,2,13
7302,Winona Dr / Davenport Rd,43.674923,-79.430465,11,5,6
7303,Queen St E / Woodward Ave,43.665269,-79.319796,19,8,11
7309,Queen St. E / Rhodes Ave.,43.666224,-79.317693,23,10,13
7311,Sherbourne St / Isabella St,43.669576,-79.375961,15,8,7
7312,Amelia St. / Sumach St.,43.66852,-79.363525,11,5,5
7313,Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,15,3,12
7314,Queen St. E / Eastern Ave,43.667208,-79.312315,15,2,13
7315,Queen St E / Hammersmith Ave,43.671349,-79.29451,11,9,2
7316,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,15,7,8
7317,Hubbard Blvd / Balsam Av,43.669328,-79.288949,19,6,13
7318,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,15,5,8
7319,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,11,5,6
7320,Front St W / University Ave (1),43.6451635,-79.3831757,19,14,5
7321,Front St W / University Ave (2),43.6452972,-79.3827914,19,16,3
7322,King St W / Brant St,43.645062,-79.397345,23,19,4
7323,457 King St. W. at Spadina,43.6452091,-79.3960744,19,13,6
7324,King St W / Charlotte St (West),43.645572,-79.39399,19,11,8
7326,Davenport Rd / Lansdowne Ave.,43.671526,-79.44874,19,7,12
7327,Davenport Rd / Oakwood Rd - SMART,43.6741219,-79.4352208,16,4,12
7328,Roxborough St W / Yonge St,43.678077,-79.390328,17,4,13
7329,Crawford St / Queen St W,43.645665,-79.415345,19,16,2
7330,Lee Ave / Queen St E,43.669863,-79.297786,11,9,2
7331,Coxwell Ave / Plains Rd,43.69595,-79.328535,19,3,16
7332,200 Bloor St. E.,43.671561,-79.38117,23,2,19
7333,King St E / Victoria St,43.6495789,-79.3762096,19,18,1
7334,Simcoe St / Wellington St North,43.6462176,-79.3855048,15,14,1
7335,Bay St / Bloor St W (West Side),43.669244,-79.3894,15,1,14
7336,Queen St E / Alton Av,43.663912,-79.327987,19,5,14
7337,Gerrard Square Mall (1010 Gerrard St E),43.668553,-79.338673,15,6,9
7338,Logan Ave / Bain Ave,43.6720273,-79.3470557,11,10,1
7339,Carlaw Ave / Strathcona Ave,43.6753188,-79.3462789,15,3,12
7340,Blake St / Boultbee Ave,43.672453,-79.338259,15,4,11
7341,Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,15,8,7
7342,Morse St / Eastern Ave - SMART,43.657991,-79.340075,11,4,7
